date,close
2026-07-23,3.799999952316284
2026-07-24,3.805000066757202
2026-07-27,3.796999931335449
2026-07-28,3.759999990463257
2026-07-29,3.6579999923706055
2026-07-30,3.674999952316284
2026-08-03,3.700000047683716
2026-08-04,3.7300000190734863
2026-08-05,3.7249999046325684
2026-08-06,3.7320001125335693
2026-08-07,3.7100000381469727
2026-08-10,3.7179999351501465
2026-08-11,3.7300000190734863
2026-08-12,3.7070000171661377
2026-08-13,3.7049999237060547
2026-08-14,3.697000026702881
2026-08-17,3.703000068664551
2026-08-18,3.7049999237060547
2026-08-19,3.7049999237060547
