date,close
2011-08-05,714.6300048828125
2011-08-08,650.9600219726562
2011-08-09,696.1599731445312
2011-08-10,660.2100219726562
2011-08-11,695.8900146484375
2011-08-12,697.5
2011-08-15,718.6300048828125
2011-08-16,704.760009765625
2011-08-17,704.030029296875
2011-08-18,662.510009765625
2011-08-19,651.7000122070312
2011-08-22,651.3400268554688
2011-08-23,683.0700073242188
2011-08-24,692.5700073242188
2011-08-25,674.4199829101562
2011-08-26,691.7899780273438
2011-08-29,724.6500244140625
2011-08-30,728.0800170898438
2011-08-31,726.8099975585938
2011-09-01,708.9199829101562
2011-09-02,683.3599853515625
2011-09-06,680.8699951171875
2011-09-07,709.469970703125
2011-09-08,694.9199829101562
2011-09-09,673.9600219726562
2011-09-12,679.760009765625
2011-09-13,691.739990234375
2011-09-14,704.1199951171875
2011-09-15,713.510009765625
2011-09-16,714.3099975585938
2011-09-19,702.22998046875
2011-09-20,689.9500122070312
2011-09-21,664.5800170898438
2011-09-22,643.4199829101562
2011-09-23,652.4299926757812
2011-09-26,665.6199951171875
2011-09-27,680.22998046875
2011-09-28,651.969970703125
2011-09-29,662.7999877929688
2011-09-30,644.1599731445312
2011-10-03,609.489990234375
2011-10-04,648.6400146484375
2011-10-05,658.1099853515625
2011-10-06,673.7999877929688
2011-10-07,656.2100219726562
2011-10-10,684.9000244140625
2011-10-11,688.969970703125
2011-10-12,700.3800048828125
2011-10-13,698.8200073242188
2011-10-14,712.4600219726562
2011-10-17,688.5999755859375
2011-10-18,709.3400268554688
2011-10-19,694.3699951171875
2011-10-20,696.4199829101562
2011-10-21,712.4199829101562
2011-10-24,736.030029296875
2011-10-25,713.6500244140625
2011-10-26,727.1500244140625
2011-10-27,765.4299926757812
2011-10-28,761.0
2011-10-31,741.0599975585938
2011-11-01,713.8900146484375
2011-11-02,733.260009765625
2011-11-03,751.530029296875
2011-11-04,746.489990234375
2011-11-07,745.27001953125
2011-11-08,755.27001953125
2011-11-09,718.8599853515625
2011-11-10,725.47998046875
2011-11-11,744.6400146484375
2011-11-14,732.8900146484375
2011-11-15,743.0800170898438
2011-11-16,729.8599853515625
2011-11-17,718.75
2011-11-18,719.4199829101562
2011-11-21,701.9000244140625
2011-11-22,696.260009765625
2011-11-23,674.3400268554688
2011-11-25,666.1599731445312
2011-11-28,697.9000244140625
2011-11-29,696.0999755859375
2011-11-30,737.4199829101562
2011-12-01,730.75
2011-12-02,735.02001953125
2011-12-05,747.030029296875
2011-12-06,746.780029296875
2011-12-07,746.1400146484375
2011-12-08,722.6799926757812
2011-12-09,745.4000244140625
2011-12-12,733.1500244140625
2011-12-13,718.0599975585938
2011-12-14,708.4600219726562
2011-12-15,716.010009765625
2011-12-16,722.0499877929688
2011-12-19,708.5599975585938
2011-12-20,738.219970703125
2011-12-21,740.4500122070312
2011-12-22,745.510009765625
2011-12-23,747.97998046875
2011-12-27,751.3099975585938
2011-12-28,735.2100219726562
2011-12-29,744.97998046875
2011-12-30,740.9199829101562
