date,close
2026-07-23,4.703000068664551
2026-07-24,4.678999900817871
2026-07-27,4.640999794006348
2026-07-28,4.604000091552734
2026-07-29,4.622000217437744
2026-07-30,4.663000106811523
2026-08-03,4.685999870300293
2026-08-04,4.626999855041504
2026-08-05,4.617000102996826
2026-08-06,4.670000076293945
2026-08-07,4.659999847412109
2026-08-10,4.698999881744385
2026-08-11,4.684000015258789
2026-08-12,4.682000160217285
2026-08-13,4.640999794006348
2026-08-14,4.696000099182129
2026-08-17,4.723999977111816
2026-08-18,4.705999851226807
2026-08-19,4.654000282287598
